idle_before	cqlite-flight-47xmt	1m	2215Mi
idle_before	cqlite-flight-5szvl	1m	2992Mi
idle_before	cqlite-flight-pt96v	1m	2079Mi
peak_8t	cqlite-flight-47xmt	143m	2164Mi
peak_8t	cqlite-flight-5szvl	239m	3057Mi
peak_8t	cqlite-flight-pt96v	76m	2080Mi
peak_16t	cqlite-flight-47xmt	265m	2148Mi
peak_16t	cqlite-flight-5szvl	479m	3059Mi
peak_16t	cqlite-flight-pt96v	146m	2064Mi
peak_32t	cqlite-flight-47xmt	355m	2148Mi
peak_32t	cqlite-flight-5szvl	672m	3059Mi
peak_32t	cqlite-flight-pt96v	161m	2063Mi
peak_64t	cqlite-flight-47xmt	416m	2148Mi
peak_64t	cqlite-flight-5szvl	755m	3060Mi
peak_64t	cqlite-flight-pt96v	222m	2064Mi
peak_80t	cqlite-flight-47xmt	481m	2149Mi
peak_80t	cqlite-flight-5szvl	976m	3060Mi
peak_80t	cqlite-flight-pt96v	204m	2064Mi
idle_after	cqlite-flight-47xmt	406m	2149Mi
idle_after	cqlite-flight-5szvl	702m	3060Mi
idle_after	cqlite-flight-pt96v	214m	2064Mi
