unix_ts,series,value
1788836205,cqlite-flight,1
1788836220,cqlite-flight,1
1788836235,cqlite-flight,1
1788836250,cqlite-flight,1
1788836265,cqlite-flight,1
1788836280,cqlite-flight,1
1788836295,cqlite-flight,1
1788836310,cqlite-flight,1
1788836325,cqlite-flight,2
1788836340,cqlite-flight,2
1788836355,cqlite-flight,2
1788836370,cqlite-flight,2
1788836385,cqlite-flight,4
1788836400,cqlite-flight,4
1788836415,cqlite-flight,4
1788836430,cqlite-flight,4
1788836445,cqlite-flight,4
1788836460,cqlite-flight,4
1788836475,cqlite-flight,4
1788836490,cqlite-flight,4
1788836505,cqlite-flight,6
1788836520,cqlite-flight,6
1788836535,cqlite-flight,6
1788836550,cqlite-flight,6
1788836565,cqlite-flight,7
1788836580,cqlite-flight,7
1788836595,cqlite-flight,7
1788836610,cqlite-flight,7
1788836625,cqlite-flight,7
1788836640,cqlite-flight,7
1788836655,cqlite-flight,7
1788836670,cqlite-flight,7
1788836685,cqlite-flight,7
1788836700,cqlite-flight,7
1788836715,cqlite-flight,7
1788836730,cqlite-flight,7
1788836745,cqlite-flight,8
1788836760,cqlite-flight,8
1788836775,cqlite-flight,8
1788836790,cqlite-flight,8
1788836805,cqlite-flight,13
1788836820,cqlite-flight,13
1788836835,cqlite-flight,13
1788836850,cqlite-flight,13
1788836865,cqlite-flight,18
1788836880,cqlite-flight,18
1788836895,cqlite-flight,18
1788836910,cqlite-flight,18
1788836925,cqlite-flight,22
1788836940,cqlite-flight,22
1788836955,cqlite-flight,22
1788836970,cqlite-flight,22
1788836985,cqlite-flight,22
1788837000,cqlite-flight,22
1788837015,cqlite-flight,22
1788837030,cqlite-flight,22
1788837045,cqlite-flight,23
1788837060,cqlite-flight,23
1788837075,cqlite-flight,23
1788837090,cqlite-flight,23
1788837105,cqlite-flight,23
1788837120,cqlite-flight,23
1788837135,cqlite-flight,23
1788837150,cqlite-flight,23
1788837165,cqlite-flight,23
1788837180,cqlite-flight,23
1788837195,cqlite-flight,23
1788837210,cqlite-flight,23
1788837225,cqlite-flight,23
1788837240,cqlite-flight,23
1788837255,cqlite-flight,23
1788837270,cqlite-flight,23
1788837285,cqlite-flight,23
1788837300,cqlite-flight,23
1788837315,cqlite-flight,23
1788837330,cqlite-flight,23
