unix_ts	series	value
1788831645	agg	372325.60000000003
1788831660	agg	372325.60000000003
1788831675	agg	372325.60000000003
1788831690	agg	372325.60000000003
1788831705	agg	0
1788831720	agg	0
1788831735	agg	0
1788831750	agg	0
1788831765	agg	0
1788831780	agg	0
1788831795	agg	0
1788831810	agg	0
1788831825	agg	0
1788831840	agg	0
1788831855	agg	0
1788831870	agg	0
1788831885	agg	0
1788831900	agg	0
1788831915	agg	0
1788831930	agg	0
1788831945	agg	0
1788831960	agg	0
1788831975	agg	0
1788831990	agg	0
1788832005	agg	0
1788832020	agg	0
1788832035	agg	0
1788832050	agg	0
1788832065	agg	372325.60000000003
1788832080	agg	372325.60000000003
1788832095	agg	372325.60000000003
1788832110	agg	372325.60000000003
1788832125	agg	0
1788832140	agg	0
1788832155	agg	0
1788832170	agg	0
1788832185	agg	686579.6710824264
1788832200	agg	686579.6710824264
1788832215	agg	686579.6710824264
1788832230	agg	686579.6710824264
1788832245	agg	430389.3
1788832260	agg	430389.3
1788832275	agg	430389.3
1788832290	agg	430389.3
1788832305	agg	0
1788832320	agg	0
1788832335	agg	0
1788832350	agg	0
1788832365	agg	0
1788832380	agg	0
1788832395	agg	0
1788832410	agg	0
1788832425	agg	0
1788832440	agg	0
1788832455	agg	0
1788832470	agg	0
1788832485	agg	0
1788832500	agg	0
1788832515	agg	0
1788832530	agg	0
1788832545	agg	0
1788832560	agg	0
1788832575	agg	0
1788832590	agg	0
1788832605	agg	0
1788832620	agg	0
1788832635	agg	0
1788832650	agg	0
1788832665	agg	0
1788832680	agg	0
1788832695	agg	0
1788832710	agg	0
1788832725	agg	0
1788832740	agg	0
1788832755	agg	0
1788832770	agg	0
1788832785	agg	0
1788832800	agg	0
1788832815	agg	0
1788832830	agg	0
1788832845	agg	0
1788832860	agg	0
1788832875	agg	0
1788832890	agg	0
1788832905	agg	0
1788832920	agg	0
1788832935	agg	0
1788832950	agg	0
1788832965	agg	0
1788832980	agg	0
1788832995	agg	0
1788833010	agg	0
1788833025	agg	0
1788833040	agg	0
1788833055	agg	0
1788833070	agg	0
1788833085	agg	0
1788833100	agg	0
