unix_ts	series	value
1788812745	cqlite-flight	12
1788812760	cqlite-flight	12
1788812775	cqlite-flight	12
1788812790	cqlite-flight	12
1788812805	cqlite-flight	12
1788812820	cqlite-flight	12
1788812835	cqlite-flight	12
1788812850	cqlite-flight	12
1788812865	cqlite-flight	12
1788812880	cqlite-flight	12
1788812895	cqlite-flight	12
1788812910	cqlite-flight	12
1788812925	cqlite-flight	12
1788812940	cqlite-flight	12
1788812955	cqlite-flight	12
1788812970	cqlite-flight	12
1788812985	cqlite-flight	12
1788813000	cqlite-flight	12
1788813015	cqlite-flight	12
1788813030	cqlite-flight	12
1788813045	cqlite-flight	12
1788813060	cqlite-flight	12
1788813075	cqlite-flight	12
1788813090	cqlite-flight	12
1788813105	cqlite-flight	12
1788813120	cqlite-flight	12
1788813135	cqlite-flight	12
1788813150	cqlite-flight	12
1788813165	cqlite-flight	12
1788813180	cqlite-flight	12
1788813195	cqlite-flight	12
1788813210	cqlite-flight	12
1788813225	cqlite-flight	12
1788813240	cqlite-flight	12
1788813255	cqlite-flight	12
1788813270	cqlite-flight	12
1788813285	cqlite-flight	12
1788813300	cqlite-flight	12
1788813315	cqlite-flight	12
1788813330	cqlite-flight	12
1788813345	cqlite-flight	12
1788813360	cqlite-flight	12
1788813375	cqlite-flight	12
1788813390	cqlite-flight	12
1788813405	cqlite-flight	12
1788813420	cqlite-flight	12
1788813435	cqlite-flight	12
1788813450	cqlite-flight	12
1788813465	cqlite-flight	12
1788813480	cqlite-flight	12
1788813495	cqlite-flight	12
1788813510	cqlite-flight	12
1788813525	cqlite-flight	12
1788813540	cqlite-flight	12
1788813555	cqlite-flight	12
1788813570	cqlite-flight	12
1788813585	cqlite-flight	12
1788813600	cqlite-flight	12
1788813615	cqlite-flight	12
1788813630	cqlite-flight	12
1788813645	cqlite-flight	12
1788813660	cqlite-flight	12
1788813675	cqlite-flight	12
1788813690	cqlite-flight	12
1788813705	cqlite-flight	12
1788813720	cqlite-flight	12
1788813735	cqlite-flight	12
1788813750	cqlite-flight	12
1788813765	cqlite-flight	12
1788813780	cqlite-flight	12
1788813795	cqlite-flight	12
1788813810	cqlite-flight	12
1788813825	cqlite-flight	12
1788813840	cqlite-flight	12
1788813855	cqlite-flight	12
1788813870	cqlite-flight	12
1788813885	cqlite-flight	12
1788813900	cqlite-flight	12
1788813915	cqlite-flight	12
1788813930	cqlite-flight	12
1788813945	cqlite-flight	12
1788813960	cqlite-flight	12
1788813975	cqlite-flight	12
1788813990	cqlite-flight	12
1788814005	cqlite-flight	12
1788814020	cqlite-flight	12
1788814035	cqlite-flight	12
1788814050	cqlite-flight	12
1788814065	cqlite-flight	12
1788814080	cqlite-flight	12
1788814095	cqlite-flight	12
1788814110	cqlite-flight	12
1788814125	cqlite-flight	12
1788814140	cqlite-flight	12
1788814155	cqlite-flight	12
1788814170	cqlite-flight	12
1788814185	cqlite-flight	12
1788814200	cqlite-flight	12
1788814215	cqlite-flight	12
1788814230	cqlite-flight	12
1788814245	cqlite-flight	12
1788814260	cqlite-flight	12
1788814275	cqlite-flight	12
1788814290	cqlite-flight	12
1788814305	cqlite-flight	12
1788814320	cqlite-flight	12
1788814335	cqlite-flight	12
1788814350	cqlite-flight	12
1788814365	cqlite-flight	12
1788814380	cqlite-flight	12
1788814395	cqlite-flight	12
1788814410	cqlite-flight	12
1788814425	cqlite-flight	12
1788814440	cqlite-flight	12
1788814455	cqlite-flight	12
1788814470	cqlite-flight	12
1788814485	cqlite-flight	12
1788814500	cqlite-flight	12
1788814515	cqlite-flight	12
1788814530	cqlite-flight	12
1788814545	cqlite-flight	12
1788814560	cqlite-flight	12
1788814575	cqlite-flight	12
1788814590	cqlite-flight	12
1788814605	cqlite-flight	12
1788814620	cqlite-flight	12
1788814635	cqlite-flight	12
1788814650	cqlite-flight	12
1788814665	cqlite-flight	12
1788814680	cqlite-flight	12
1788814695	cqlite-flight	12
1788814710	cqlite-flight	12
1788814725	cqlite-flight	12
1788814740	cqlite-flight	12
1788814755	cqlite-flight	12
1788814770	cqlite-flight	12
1788814785	cqlite-flight	12
1788814800	cqlite-flight	12
1788814815	cqlite-flight	12
1788814830	cqlite-flight	12
1788814845	cqlite-flight	12
1788814860	cqlite-flight	12
1788814875	cqlite-flight	12
1788814890	cqlite-flight	12
1788814905	cqlite-flight	12
1788814920	cqlite-flight	12
1788814935	cqlite-flight	12
1788814950	cqlite-flight	12
1788814965	cqlite-flight	12
1788814980	cqlite-flight	12
1788814995	cqlite-flight	12
1788815010	cqlite-flight	12
1788815025	cqlite-flight	12
1788815040	cqlite-flight	12
1788815055	cqlite-flight	12
1788815070	cqlite-flight	12
1788815085	cqlite-flight	12
1788815100	cqlite-flight	12
1788815115	cqlite-flight	12
1788815130	cqlite-flight	12
1788815145	cqlite-flight	12
1788815160	cqlite-flight	12
1788815175	cqlite-flight	12
1788815190	cqlite-flight	12
1788815205	cqlite-flight	12
1788815220	cqlite-flight	12
1788815235	cqlite-flight	12
1788815250	cqlite-flight	12
1788815265	cqlite-flight	12
1788815280	cqlite-flight	12
1788815295	cqlite-flight	12
1788815310	cqlite-flight	12
1788815325	cqlite-flight	12
1788815340	cqlite-flight	12
1788815355	cqlite-flight	12
1788815370	cqlite-flight	12
1788815385	cqlite-flight	12
1788815400	cqlite-flight	12
1788815415	cqlite-flight	12
1788815430	cqlite-flight	12
1788815445	cqlite-flight	12
1788815460	cqlite-flight	12
1788815475	cqlite-flight	12
1788815490	cqlite-flight	12
1788815505	cqlite-flight	12
1788815520	cqlite-flight	12
1788815535	cqlite-flight	12
1788815550	cqlite-flight	12
1788815565	cqlite-flight	12
1788815580	cqlite-flight	12
1788815595	cqlite-flight	12
1788815610	cqlite-flight	12
1788815625	cqlite-flight	12
1788815640	cqlite-flight	12
1788815655	cqlite-flight	12
1788815670	cqlite-flight	12
1788815685	cqlite-flight	12
1788815700	cqlite-flight	12
1788815715	cqlite-flight	12
1788815730	cqlite-flight	12
1788815745	cqlite-flight	12
1788815760	cqlite-flight	12
1788815775	cqlite-flight	12
1788815790	cqlite-flight	12
1788815805	cqlite-flight	12
1788815820	cqlite-flight	12
1788815835	cqlite-flight	12
1788815850	cqlite-flight	12
1788815865	cqlite-flight	12
1788815880	cqlite-flight	12
1788815895	cqlite-flight	12
1788815910	cqlite-flight	12
1788815925	cqlite-flight	12
1788815940	cqlite-flight	12
1788815955	cqlite-flight	12
1788815970	cqlite-flight	12
1788815985	cqlite-flight	12
1788816000	cqlite-flight	12
1788816015	cqlite-flight	12
1788816030	cqlite-flight	12
1788816045	cqlite-flight	12
1788816060	cqlite-flight	12
1788816075	cqlite-flight	12
1788816090	cqlite-flight	12
1788816105	cqlite-flight	12
1788816120	cqlite-flight	12
1788816135	cqlite-flight	12
1788816150	cqlite-flight	12
1788816165	cqlite-flight	12
1788816180	cqlite-flight	12
1788816195	cqlite-flight	12
1788816210	cqlite-flight	12
1788816225	cqlite-flight	12
1788816240	cqlite-flight	12
1788816255	cqlite-flight	12
1788816270	cqlite-flight	12
1788816285	cqlite-flight	12
1788816300	cqlite-flight	12
1788816315	cqlite-flight	12
1788816330	cqlite-flight	12
1788816345	cqlite-flight	12
1788816360	cqlite-flight	12
1788816375	cqlite-flight	12
1788816390	cqlite-flight	12
1788816405	cqlite-flight	12
1788816420	cqlite-flight	12
1788816435	cqlite-flight	12
1788816450	cqlite-flight	12
1788816465	cqlite-flight	12
1788816480	cqlite-flight	12
1788816495	cqlite-flight	12
1788816510	cqlite-flight	12
1788816525	cqlite-flight	12
1788816540	cqlite-flight	12
1788816555	cqlite-flight	12
1788816570	cqlite-flight	12
1788816585	cqlite-flight	12
1788816600	cqlite-flight	12
1788816615	cqlite-flight	12
1788816630	cqlite-flight	12
1788816645	cqlite-flight	12
1788816660	cqlite-flight	12
1788816675	cqlite-flight	12
1788816690	cqlite-flight	12
1788816705	cqlite-flight	12
1788816720	cqlite-flight	12
1788816735	cqlite-flight	12
1788816750	cqlite-flight	12
