round,arm,phase,wall_secs,max_rss_kb,major_faults,minor_faults
1,baseline,cold,22.54,2982640,51,116476
1,baseline,warm,18.95,2983648,0,112686
1,patched,cold,30.59,2981980,52,110089
1,patched,warm,19.19,2982156,0,123804
2,patched,cold,21.35,2982976,50,112001
2,patched,warm,18.53,2982184,0,110867
2,baseline,cold,23.76,2831780,52,111508
2,baseline,warm,18.18,2982852,0,119659
3,baseline,cold,31.01,2983000,53,111009
3,baseline,warm,20.18,2983224,0,119674
3,patched,cold,22.22,2982232,50,120145
3,patched,warm,17.46,2983200,0,123055
