==== WS0 #3217 C(N) SWEEP SUMMARY ====
label: cn-s1-ac5   S=1   server_cpus=2,10   client_cpus=6,7,14,15   merge_path=bypass
points: 15 total, 0 excluded (client-saturated)   admission_clean: YES

N    rep  rows/s min    rows/s med    rows/s max    spr%    rows/s/strm   speedup  margeff  srvUtl  cliUtl  cs/s     
1    3    206522.6      212578.4      213778.5      3.4     212578.4      1.000    1.000    0.777   0.023   47626    
2    3    246507.5      249985.3      259079.9      5.0     124992.7      1.176    0.588    0.995   0.026   49529    
4    3    239059.3      240429.2      240683.6      0.7     60107.3       1.131    0.283    0.999   0.026   46827    
8    3    217902.8      221383.4      223586.1      2.6     27672.9       1.041    0.130    1.000   0.025   36657    
16   3    208010.0      212817.6      212911.3      2.3     13301.1       1.001    0.063    1.000   0.026   28994    

byte bases (median, AC6 - never a bare MB/s):
N    logical-uncomp B/s     on-disk-comp B/s       arrow-wire-cap B/s    
1    147378337.4            41684299.6             2591619347.7          
2    173312170.0            49019391.5             3047660740.8          
4    166686982.3            47145531.9             2931158106.6          
8    153482741.7            43410861.5             2698964107.5          
16   147544144.2            41731196.2             2594535028.7          

scheduler cost per N (AC5):
N    cs/s (cpu-wide)  vol cs/s (proc)  nonvol cs/s (proc)
1    47626            0.0              0.0             
2    49529            0.0              0.0             
4    46827            0.0              0.0             
8    36657            0.0              0.0             
16   28994            0.0              0.0             
