==== WS0 #3217 C(N) SWEEP SUMMARY ====
label: cn-s1   S=1   server_cpus=2,10   client_cpus=6,7,14,15   merge_path=bypass
points: 15 total, 0 excluded (client-saturated)   admission_clean: YES

N    rep  rows/s min    rows/s med    rows/s max    spr%    rows/s/strm   speedup  margeff  srvUtl  cliUtl  cs/s     
1    3    209933.6      216229.1      218312.1      3.9     216229.1      1.000    1.000    0.782   0.022   48107    
2    3    247378.6      252419.8      260992.9      5.4     126209.9      1.167    0.584    0.996   0.026   49896    
4    3    237927.8      240361.1      243138.6      2.2     60090.3       1.112    0.278    0.998   0.029   46586    
8    3    218128.3      220864.7      222721.5      2.1     27608.1       1.021    0.128    0.999   0.027   36375    
16   3    207944.7      211010.2      211886.7      1.9     13188.1       0.976    0.061    1.000   0.026   28747    

byte bases (median, AC6 - never a bare MB/s):
N    logical-uncomp B/s     on-disk-comp B/s       arrow-wire-cap B/s    
1    149909318.1            42400159.0             2636126150.4          
2    174999959.0            49496763.6             3077340181.9          
4    166639805.7            47132188.6             2930328514.4          
8    153123144.1            43309153.4             2692640654.6          
16   146291093.5            41376785.0             2572500376.0          

scheduler cost per N (AC5):
N    cs/s (cpu-wide)  vol cs/s (proc)  nonvol cs/s (proc)
1    48107            0.0              0.0             
2    49896            0.0              0.0             
4    46586            0.0              0.0             
8    36375            0.0              0.0             
16   28747            0.0              0.0             
