==== WS0 #3217 C(N) SWEEP SUMMARY ====
label: cn3225-s1   S=1   server_cpus=2,10   client_cpus=6,7,14,15   merge_path=bypass
points: 24 total, 0 excluded (client-saturated)   admission_clean: YES

N    rep  rows/s min    rows/s med    rows/s max    spr%    rows/s/strm   speedup  margeff  srvUtl  cliUtl  cs/s     
1    3    208542.6      216298.2      219336.6      5.0     216298.2      1.000    1.000    0.774   0.018   47611    
2    3    237688.8      240693.0      245438.6      3.2     120346.5      1.113    0.556    0.994   0.021   47745    
4    3    222295.4      228656.6      231702.4      4.1     57164.1       1.057    0.264    0.999   0.021   44842    
8    3    211901.5      216503.0      217072.5      2.4     27062.9       1.001    0.125    1.000   0.020   36185    
16   3    207144.4      208696.3      209615.5      1.2     13043.5       0.965    0.060    1.000   0.020   28416    
24   3    198334.4      200604.8      200961.8      1.3     8358.5        0.927    0.039    1.000   0.022   24562    
32   3    195292.6      196655.4      196759.0      0.7     6145.5        0.909    0.028    1.000   0.022   24192    
64   3    187918.3      188914.1      190462.7      1.3     2951.8        0.873    0.014    1.000   0.021   23539    

byte bases (median, AC6 - never a bare MB/s):
N    logical-uncomp B/s     on-disk-comp B/s       arrow-wire-cap B/s    
1    149909347.8            42400305.4             2636969317.9          
2    166816604.6            47182347.8             2934375171.1          
4    158474517.8            44822875.0             2787634308.3          
8    150051230.9            42440435.6             2639465102.9          
16   144640659.5            40910111.6             2544290845.3          
24   139032735.5            39323968.4             2445645072.7          
32   136295551.1            38549784.1             2397496832.6          
64   130930262.0            37032267.7             2303119110.5          

scheduler cost per N (AC5):
N    cs/s (cpu-wide)  vol cs/s (proc)  nonvol cs/s (proc)
1    47611            0.0              0.0             
2    47745            0.0              0.0             
4    44842            0.0              0.0             
8    36185            0.0              0.0             
16   28416            0.0              0.0             
24   24562            0.0              0.0             
32   24192            0.0              0.0             
64   23539            0.0              0.0             
