==== WS0 #3217 C(N) SWEEP SUMMARY ====
label: cn3225-s2   S=2   server_cpus=0,2,8,10   client_cpus=6,7,14,15   merge_path=bypass
points: 24 total, 0 excluded (client-saturated)   admission_clean: YES

N    rep  rows/s min    rows/s med    rows/s max    spr%    rows/s/strm   speedup  margeff  srvUtl  cliUtl  cs/s     
1    3    186927.9      199759.9      204983.1      9.0     199759.9      1.000    1.000    0.420   0.017   103921   
2    3    308005.8      310633.2      315834.2      2.5     155316.6      1.555    0.778    0.745   0.027   112773   
4    3    369526.2      386264.6      417309.0      12.4    96566.2       1.934    0.483    0.921   0.034   90106    
8    3    431471.6      432359.5      436128.3      1.1     54044.9       2.164    0.271    0.996   0.039   86782    
16   3    410635.8      411090.4      420551.7      2.4     25693.1       2.058    0.129    0.999   0.039   68994    
24   3    395631.5      403017.0      408537.4      3.2     16792.4       2.018    0.084    1.000   0.039   58287    
32   3    388078.3      393091.6      393769.1      1.4     12284.1       1.968    0.061    0.999   0.039   53797    
64   3    367260.2      373262.8      377626.7      2.8     5832.2        1.869    0.029    1.000   0.042   47075    

byte bases (median, AC6 - never a bare MB/s):
N    logical-uncomp B/s     on-disk-comp B/s       arrow-wire-cap B/s    
1    138447131.7            39158336.4             2435344052.0          
2    215289841.5            60892500.5             3787040066.1          
4    267707582.8            75718315.4             4709090476.4          
8    299654474.7            84754162.7             5271049920.9          
16   284913510.2            80584833.7             5011750071.6          
24   279318138.3            79002240.7             4913325095.1          
32   272439139.4            77056587.1             4792320572.4          
64   258696451.1            73169610.2             4550580828.2          

scheduler cost per N (AC5):
N    cs/s (cpu-wide)  vol cs/s (proc)  nonvol cs/s (proc)
1    103921           0.0              0.0             
2    112773           0.0              0.0             
4    90106            0.0              0.0             
8    86782            0.0              0.0             
16   68994            0.0              0.0             
24   58287            0.1              0.0             
32   53797            0.1              0.0             
64   47075            0.1              0.0             
