==== WS0 #3217 C(N) SWEEP SUMMARY ====
label: cn3225-s3   S=None   server_cpus=0,1,2,8,9,10   client_cpus=6,7,14,15   merge_path=bypass
points: 24 total, 0 excluded (client-saturated)   admission_clean: YES

N    rep  rows/s min    rows/s med    rows/s max    spr%    rows/s/strm   speedup  margeff  srvUtl  cliUtl  cs/s     
1    3    162744.7      169886.6      176492.6      8.1     169886.6      1.000    1.000    0.245   0.016   92308    
2    3    308381.3      315433.6      319578.1      3.5     157716.8      1.857    0.928    0.501   0.027   168856   
4    3    473649.9      479323.6      487558.1      2.9     119830.9      2.821    0.705    0.828   0.043   156010   
8    3    582485.9      588316.5      595091.8      2.1     73539.6       3.463    0.433    0.971   0.054   125058   
16   3    623489.4      624555.7      627437.6      0.6     39034.7       3.676    0.230    0.997   0.059   118974   
24   3    608227.4      612577.0      620451.3      2.0     25524.0       3.606    0.150    0.998   0.059   102426   
32   3    590304.0      591564.3      595996.0      1.0     18486.4       3.482    0.109    0.997   0.059   89624    
64   3    556403.3      561994.7      566357.7      1.8     8781.2        3.308    0.052    0.999   0.062   71798    

byte bases (median, AC6 - never a bare MB/s):
N    logical-uncomp B/s     on-disk-comp B/s       arrow-wire-cap B/s    
1    117742918.1            33302364.1             2071148109.5          
2    218616862.2            61833513.8             3845563778.6          
4    332203747.4            93960387.2             5843605499.0          
8    407743196.2            115325937.4            7172376598.6          
16   432859433.7            122429804.9            7614181919.9          
24   424557396.8            120081659.8            7468145551.7          
32   409994199.3            115962610.3            7211972702.4          
64   389500425.9            110166158.9            6851478493.5          

scheduler cost per N (AC5):
N    cs/s (cpu-wide)  vol cs/s (proc)  nonvol cs/s (proc)
1    92308            0.0              0.0             
2    168856           0.0              0.0             
4    156010           0.0              0.0             
8    125058           0.0              0.0             
16   118974           0.0              0.0             
24   102426           0.1              0.0             
32   89624            0.1              0.0             
64   71798            0.1              0.0             
