==== WS0 #3217 C(N) SWEEP SUMMARY ====
label: cn3225-s4   S=4   server_cpus=0,1,2,3,8,9,10,11   client_cpus=6,7,14,15   merge_path=bypass
points: 24 total, 0 excluded (client-saturated)   admission_clean: YES

N    rep  rows/s min    rows/s med    rows/s max    spr%    rows/s/strm   speedup  margeff  srvUtl  cliUtl  cs/s     
1    3    150632.6      160450.1      163798.1      8.2     160450.1      1.000    1.000    0.167   0.015   74552    
2    3    309316.9      310569.5      319123.3      3.2     155284.7      1.936    0.968    0.367   0.029   165726   
4    3    529686.7      541696.2      565335.5      6.6     135424.1      3.376    0.844    0.751   0.050   231474   
8    3    707021.0      713223.3      716707.2      1.4     89152.9       4.445    0.556    0.940   0.068   171550   
16   3    811974.3      815747.7      816067.6      0.5     50984.2       5.084    0.318    0.994   0.081   164471   
24   3    778312.8      784934.0      787194.0      1.1     32705.6       4.892    0.204    0.990   0.079   152153   
32   3    771862.7      779599.8      788205.9      2.1     24362.5       4.859    0.152    0.993   0.081   131819   
64   3    725486.3      734228.2      735948.6      1.4     11472.3       4.576    0.072    0.999   0.081   99004    

byte bases (median, AC6 - never a bare MB/s):
N    logical-uncomp B/s     on-disk-comp B/s       arrow-wire-cap B/s    
1    111202785.3            31452555.4             1956104387.9          
2    215245695.5            60880014.3             3786263520.5          
4    375432219.8            106187112.6            6604012752.8          
8    494312127.1            139811062.3            8695160986.8          
16   565368500.2            159908621.1            9945072873.2          
24   544012500.7            153868298.0            9569411741.5          
32   540315538.7            152822650.6            9504380602.8          
64   508869917.1            143928582.4            8951238718.6          

scheduler cost per N (AC5):
N    cs/s (cpu-wide)  vol cs/s (proc)  nonvol cs/s (proc)
1    74552            0.0              0.0             
2    165726           0.0              0.0             
4    231474           0.0              0.0             
8    171550           0.0              0.0             
16   164471           0.0              0.0             
24   152153           0.1              0.0             
32   131819           0.2              0.0             
64   99004            0.1              0.0             
