==== WS0 #3217 C(N) SWEEP SUMMARY ====
label: cn3225-s6   S=6   server_cpus=0,1,2,3,4,5,8,9,10,11,12,13   client_cpus=6,7,14,15   merge_path=bypass
points: 24 total, 0 excluded (client-saturated)   admission_clean: YES

N    rep  rows/s min    rows/s med    rows/s max    spr%    rows/s/strm   speedup  margeff  srvUtl  cliUtl  cs/s     
1    3    140347.1      142601.5      145489.0      3.6     142601.5      1.000    1.000    0.102   0.015   64703    
2    3    297482.9      303654.1      314238.6      5.5     151827.1      2.129    1.065    0.229   0.031   154837   
4    3    558719.0      562022.9      568362.4      1.7     140505.7      3.941    0.985    0.505   0.055   299757   
8    3    902369.7      904930.1      944771.9      4.7     113116.3      6.346    0.793    0.878   0.093   312973   
16   3    1063033.2     1086418.3     1108248.7     4.2     67901.1       7.619    0.476    0.971   0.115   240809   
24   3    1168927.0     1173758.6     1203787.5     3.0     48906.6       8.231    0.343    0.989   0.131   237871   
32   3    1119407.6     1146062.8     1159030.0     3.5     35814.5       8.037    0.251    0.992   0.128   208995   
64   3    1046777.9     1087911.9     1094079.8     4.3     16998.6       7.629    0.119    0.995   0.128   164785   

byte bases (median, AC6 - never a bare MB/s):
N    logical-uncomp B/s     on-disk-comp B/s       arrow-wire-cap B/s    
1    98832527.0             27953756.0             1738506271.5          
2    210452890.4            59524419.0             3701956034.7          
4    389519975.8            110171688.4            6851822385.1          
8    627177942.4            177390781.3            11032327305.6         
16   752961535.9            212967367.1            13244914322.1         
24   813494308.9            230088434.7            14309711598.7         
32   794299257.5            224659313.3            13972062463.3         
64   753996745.2            213260165.4            13263124095.9         

scheduler cost per N (AC5):
N    cs/s (cpu-wide)  vol cs/s (proc)  nonvol cs/s (proc)
1    64703            0.0              0.0             
2    154837           0.0              0.0             
4    299757           0.0              0.0             
8    312973           0.0              0.0             
16   240809           0.0              0.0             
24   237871           0.1              0.0             
32   208995           0.1              0.0             
64   164785           0.2              0.0             
